JNR	DYRNR	MATR	BAKTFUND	DYREART	PRV_DATO	CHR_NR	AKTVNR	SEKTION	EPINR	SYSBEM	ANALYSE	region
A2764462	1	772	cjej	81	17JUN1999:00:00:00	10181	5133	1fj	1			R3
A2764469	1	772	cjej	81	16JUN1999:00:00:00	10275	5133	1fj	7			R6
A2764471	1	772	cjej	81	16JUN1999:00:00:00	10176	5133	1fj	1			R3
A2764472	1	772	cjej	81	16JUN1999:00:00:00	10176	5133	1fj	2			R3
A2764477	1	772	cjej	81	15JUN1999:00:00:00	10346	5133	1fj	4			R2
A2764481	1	772	cjej	81	16JUN1999:00:00:00	10199	5133	1fj	7			R5
A2764484	1	772	cjej	81	16JUN1999:00:00:00	10121	5133	1fj	6			R8
A2764486	1	772	cjej	81	15JUN1999:00:00:00	10121	5133	1fj	3			R8
A2764491	1	772	cjej	81	17JUN1999:00:00:00	10089	5133	1fj	6			NA
A2764492	1	772	cjej	81	16JUN1999:00:00:00	10089	5133	1fj	3			NA
A2764493	1	772	cjej	81	16JUN1999:00:00:00	10089	5133	1fj	4			NA
A2764494	1	772	cjej	81	16JUN1999:00:00:00	10089	5133	1fj	7			NA
A2764495	1	772	cjej	81	16JUN1999:00:00:00	10199	5133	1fj	8			R5
A2764496	1	772	cjej	81	15JUN1999:00:00:00	10089	5133	1fj	3			NA
A2764497	1	772	cjej	81	15JUN1999:00:00:00	10242	5133	1fj	1			R7
A2764500	1	772	cjej	81	17JUN1999:00:00:00	10162	5133	1fj	2			NA
A2764501	1	772	cjej	81	17JUN1999:00:00:00	10162	5133	1fj	1			NA
A2764280	1	772	cjej	81	14JUN1999:00:00:00	10491	5133	1fj	1			NA
A2764067	1	772	cjej	81	10JUN1999:00:00:00	10197	5133	1fj	6			R3
A2764221	1	772	cjej	81	11JUN1999:00:00:00	10100	5133	1fj	2			R1
A2764226	1	772	cjej	81	14JUN1999:00:00:00	10560	5133	1fj	1			R8
A2764227	1	772	cjej	81	14JUN1999:00:00:00	10560	5133	1fj	2			R8
A2764228	1	772	cjej	81	14JUN1999:00:00:00	10246	5133	1fj	1			R3
A2764229	1	772	cjej	81	15JUN1999:00:00:00	10246	5133	1fj	2			R3
A2764236	1	772	cjej	81	14JUN1999:00:00:00	10346	5133	1fj	1			R2
A2764238	1	772	cjej	81	14JUN1999:00:00:00	10031	5133	1fj	1			R3
A2764239	1	772	cjej	81	14JUN1999:00:00:00	10031	5133	1fj	2			R3
A2764240	1	772	cjej	81	14JUN1999:00:00:00	10031	5133	1fj	3			R3
A2764241	1	772	cjej	81	11JUN1999:00:00:00	10175	5133	1fj	3			R2
A2764242	1	772	cjej	81	11JUN1999:00:00:00	10175	5133	1fj	4			R2
A2764243	1	772	cjej	81	11JUN1999:00:00:00	10031	5133	1fj	4			R3
A2764244	1	772	cjej	81	11JUN1999:00:00:00	10031	5133	1fj	5			R3
A2764245	1	772	cjej	81	11JUN1999:00:00:00	10251	5133	1fj	7			R2
A2764259	1	772	cjej	81	14JUN1999:00:00:00	10117	5133	1fj	3			R6
A2764260	1	772	cjej	81	14JUN1999:00:00:00	10117	5133	1fj	4			R6
A2764262	1	772	cjej	81	10JUN1999:00:00:00	10118	5133	1fj	1			R6
A2764263	1	772	cjej	81	10JUN1999:00:00:00	10118	5133	1fj	2			R6
A2764264	1	772	cjej	84	14JUN1999:00:00:00	10289	5133	1fj	NA			R3
A2764265	1	772	cjej	84	11JUN1999:00:00:00	10020	5133	1fj	NA			R6
A2764266	1	772	cjej	81	14JUN1999:00:00:00	10541	5133	1fj	NA			R7
A2764279	1	772	cjej	81	11JUN1999:00:00:00	10467	5133	1fj	1			NA
A2764065	1	772	cjej	81	10JUN1999:00:00:00	10244	5133	1fj	6			R4
A2764014	1	772	cjej	81	09JUN1999:00:00:00	10222	5133	1fj	41			R2
A2764015	1	772	cjej	81	10JUN1999:00:00:00	10222	5133	1fj	5			R2
A2764016	1	772	cjej	81	10JUN1999:00:00:00	10222	5133	1fj	3			R2
A2764017	1	772	cjej	81	10JUN1999:00:00:00	10657	5133	1fj	2			R6
A2764018	1	772	cjej	81	08JUN1999:00:00:00	10193	5133	1fj	8			R7
