Materialeart,Chrnr,Epinr,Provedato,Modtag.Dato,Jnr,Provenr,Tolkning,region
Kloaksvaber,10537,1,02/08/06,02/09/06,C1778,1,NEGATIV,R4
Kloaksvaber,10625,4,02/08/06,02/08/06,C1772,14,NEGATIV,R1
Kloaksvaber,10625,4,02/08/06,02/08/06,C1772,4,NEGATIV,R1
Kloaksvaber,10275,18,02/08/06,02/08/06,C1773,2,NEGATIV,R6
Kloaksvaber,10625,4,02/08/06,02/08/06,C1772,17,NEGATIV,R1
Kloaksvaber,10625,3,02/08/06,02/08/06,C1771,6,NEGATIV,R1
Kloaksvaber,10178,2,02/08/06,02/10/06,C1788,1,POSITIV,NA
Kloaksvaber,10625,3,02/08/06,02/08/06,C1771,7,NEGATIV,R1
Kloaksvaber,10625,4,02/08/06,02/08/06,C1772,20,NEGATIV,R1
Kloaksvaber,10625,3,02/08/06,02/08/06,C1771,20,NEGATIV,R1
Kloaksvaber,10625,3,02/08/06,02/08/06,C1771,18,NEGATIV,R1
Kloaksvaber,10625,4,02/08/06,02/08/06,C1772,3,NEGATIV,R1
Kloaksvaber,10275,18,02/08/06,02/08/06,C1773,11,NEGATIV,R6
Kloaksvaber,10430,2,02/08/06,02/10/06,C1802,1,NEGATIV,R3
Kloaksvaber,10430,3,02/08/06,02/10/06,C1802,2,NEGATIV,R3
Kloaksvaber,10275,18,02/08/06,02/08/06,C1773,7,NEGATIV,R6
Kloaksvaber,10625,3,02/08/06,02/08/06,C1771,19,NEGATIV,R1
Kloaksvaber,10625,3,02/08/06,02/08/06,C1771,3,NEGATIV,R1
Kloaksvaber,10275,18,02/08/06,02/08/06,C1773,1,NEGATIV,R6
Kloaksvaber,10275,18,02/08/06,02/08/06,C1773,4,NEGATIV,R6
Kloaksvaber,10089,9,02/08/06,02/09/06,C1781,1,POSITIV,NA
Kloaksvaber,10625,4,02/08/06,02/08/06,C1772,10,NEGATIV,R1
Kloaksvaber,10304,3,02/08/06,02/08/06,C1774,1,NEGATIV,R7
Kloaksvaber,10625,3,02/08/06,02/08/06,C1771,15,NEGATIV,R1
Kloaksvaber,10275,18,02/08/06,02/08/06,C1773,20,NEGATIV,R6
Kloaksvaber,10275,18,02/08/06,02/08/06,C1773,16,NEGATIV,R6
Kloaksvaber,10625,3,02/08/06,02/08/06,C1771,13,NEGATIV,R1
Kloaksvaber,10275,18,02/08/06,02/08/06,C1773,14,NEGATIV,R6
Kloaksvaber,10586,2,02/08/06,02/09/06,C1785,1,NEGATIV,R3
Kloaksvaber,10625,3,02/08/06,02/08/06,C1771,4,NEGATIV,R1
Kloaksvaber,10625,3,02/08/06,02/08/06,C1771,2,NEGATIV,R1
Kloaksvaber,10625,3,02/08/06,02/08/06,C1771,1,NEGATIV,R1
Kloaksvaber,10625,3,02/08/06,02/08/06,C1771,10,NEGATIV,R1
Kloaksvaber,10625,3,02/08/06,02/08/06,C1771,8,NEGATIV,R1
Kloaksvaber,10625,3,02/08/06,02/08/06,C1771,5,NEGATIV,R1
Kloaksvaber,10625,4,02/08/06,02/08/06,C1772,2,NEGATIV,R1
Kloaksvaber,10275,18,02/08/06,02/08/06,C1773,5,NEGATIV,R6
Kloaksvaber,10275,18,02/08/06,02/08/06,C1773,18,NEGATIV,R6
Kloaksvaber,10625,4,02/08/06,02/08/06,C1772,12,NEGATIV,R1
Kloaksvaber,10625,4,02/08/06,02/08/06,C1772,19,NEGATIV,R1
Kloaksvaber,10275,18,02/08/06,02/08/06,C1773,8,NEGATIV,R6
Kloaksvaber,10371,1,02/08/06,02/09/06,C1787,1,NEGATIV,R1
Kloaksvaber,10625,3,02/08/06,02/08/06,C1771,12,NEGATIV,R1
Kloaksvaber,10625,4,02/08/06,02/08/06,C1772,18,NEGATIV,R1
Kloaksvaber,10625,4,02/08/06,02/08/06,C1772,16,NEGATIV,R1
Kloaksvaber,10625,4,02/08/06,02/08/06,C1772,7,NEGATIV,R1
Kloaksvaber,10275,18,02/08/06,02/08/06,C1773,13,NEGATIV,R6
Kloaksvaber,10625,4,02/08/06,02/08/06,C1772,8,NEGATIV,R1
Kloaksvaber,10537,2,02/08/06,02/09/06,C1778,2,NEGATIV,R4
Kloaksvaber,10275,18,02/08/06,02/08/06,C1773,19,NEGATIV,R6
Kloaksvaber,10136,4,02/08/06,02/09/06,C1779,2,NEGATIV,R4
Kloaksvaber,10275,18,02/08/06,02/08/06,C1773,17,NEGATIV,R6
Kloaksvaber,10625,3,02/08/06,02/08/06,C1771,14,NEGATIV,R1
Kloaksvaber,10275,18,02/08/06,02/08/06,C1773,6,NEGATIV,R6
Kloaksvaber,10275,18,02/08/06,02/08/06,C1773,3,NEGATIV,R6
Kloaksvaber,10625,4,02/08/06,02/08/06,C1772,6,NEGATIV,R1
Kloaksvaber,10625,4,02/08/06,02/08/06,C1772,15,NEGATIV,R1
Kloaksvaber,10372,2,02/08/06,02/21/06,C1896,2,POSITIV,R5
Kloaksvaber,10275,18,02/08/06,02/08/06,C1773,12,NEGATIV,R6
Kloaksvaber,10625,3,02/08/06,02/08/06,C1771,11,NEGATIV,R1
Kloaksvaber,10625,3,02/08/06,02/08/06,C1771,16,NEGATIV,R1
Kloaksvaber,10625,4,02/08/06,02/08/06,C1772,5,NEGATIV,R1
Kloaksvaber,10356,3,02/08/06,02/10/06,C1797,1,NEGATIV,R2
Kloaksvaber,10107,2,02/08/06,02/09/06,C1786,1,NEGATIV,R3
Kloaksvaber,10625,4,02/08/06,02/08/06,C1772,13,NEGATIV,R1
Kloaksvaber,10136,3,02/08/06,02/09/06,C1779,1,NEGATIV,R4
Kloaksvaber,10304,1,02/09/06,02/09/06,C1783,13,POSITIV,R7
Kloaksvaber,10304,1,02/09/06,02/09/06,C1783,16,POSITIV,R7
Kloaksvaber,10346,4,02/09/06,02/09/06,C1782,2,NEGATIV,R2
Kloaksvaber,10346,3,02/09/06,02/09/06,C1784,18,NEGATIV,R2
Kloaksvaber,10346,3,02/09/06,02/09/06,C1784,17,NEGATIV,R2
Kloaksvaber,10346,3,02/09/06,02/09/06,C1784,12,NEGATIV,R2
Kloaksvaber,10346,4,02/09/06,02/09/06,C1782,1,NEGATIV,R2
Kloaksvaber,10346,3,02/09/06,02/09/06,C1784,5,NEGATIV,R2
Kloaksvaber,10304,1,02/09/06,02/09/06,C1783,8,POSITIV,R7
Kloaksvaber,10346,4,02/09/06,02/09/06,C1782,15,NEGATIV,R2
Kloaksvaber,10346,4,02/09/06,02/09/06,C1782,8,NEGATIV,R2
Kloaksvaber,10346,4,02/09/06,02/09/06,C1782,6,NEGATIV,R2
Kloaksvaber,10346,3,02/09/06,02/09/06,C1784,8,NEGATIV,R2
Kloaksvaber,10304,1,02/09/06,02/09/06,C1783,2,POSITIV,R7
Kloaksvaber,10346,4,02/09/06,02/09/06,C1782,4,NEGATIV,R2
Kloaksvaber,10304,1,02/09/06,02/09/06,C1783,6,POSITIV,R7
Kloaksvaber,10346,4,02/09/06,02/09/06,C1782,5,NEGATIV,R2
Kloaksvaber,10304,1,02/09/06,02/09/06,C1783,18,NEGATIV,R7
Kloaksvaber,10346,3,02/09/06,02/09/06,C1784,9,NEGATIV,R2
Kloaksvaber,10239,2,02/09/06,02/10/06,C1807,1,NEGATIV,R6
Kloaksvaber,10304,1,02/09/06,02/09/06,C1783,12,NEGATIV,R7
Kloaksvaber,10371,2,02/09/06,02/10/06,C1808,1,POSITIV,R1
Kloaksvaber,10356,1,02/09/06,02/10/06,C1798,1,NEGATIV,R2
Kloaksvaber,10304,1,02/09/06,02/09/06,C1783,11,NEGATIV,R7
Kloaksvaber,10346,4,02/09/06,02/09/06,C1782,3,NEGATIV,R2
Kloaksvaber,10178,3,02/09/06,02/10/06,C1789,1,POSITIV,NA
Kloaksvaber,10346,3,02/09/06,02/09/06,C1784,3,NEGATIV,R2
Kloaksvaber,10346,3,02/09/06,02/09/06,C1784,10,NEGATIV,R2
Kloaksvaber,10346,3,02/09/06,02/09/06,C1784,1,NEGATIV,R2
Kloaksvaber,10304,1,02/09/06,02/09/06,C1783,3,POSITIV,R7
Kloaksvaber,10304,1,02/09/06,02/09/06,C1783,14,NEGATIV,R7
Kloaksvaber,10304,1,02/09/06,02/09/06,C1783,20,NEGATIV,R7
Kloaksvaber,10356,1,02/09/06,02/21/06,C1892,1,NEGATIV,R2
Kloaksvaber,10250,5,02/09/06,02/10/06,C1800,1,NEGATIV,R2
Kloaksvaber,10346,3,02/09/06,02/09/06,C1784,13,NEGATIV,R2
Kloaksvaber,10304,1,02/09/06,02/09/06,C1783,4,POSITIV,R7
Kloaksvaber,10346,4,02/09/06,02/09/06,C1782,11,NEGATIV,R2
Kloaksvaber,10304,1,02/09/06,02/09/06,C1783,17,POSITIV,R7
Kloaksvaber,10337,1,02/09/06,02/10/06,C1793,1,NEGATIV,R3
Kloaksvaber,10304,1,02/09/06,02/09/06,C1783,1,POSITIV,R7
Kloaksvaber,10346,3,02/09/06,02/09/06,C1784,4,NEGATIV,R2
Kloaksvaber,10649,1,02/09/06,02/10/06,C1791,1,NEGATIV,R8
Kloaksvaber,10572,1,02/09/06,02/10/06,C1790,1,NEGATIV,R3
Kloaksvaber,10304,1,02/09/06,02/09/06,C1783,10,POSITIV,R7
Kloaksvaber,10346,3,02/09/06,02/09/06,C1784,16,NEGATIV,R2
Kloaksvaber,10346,4,02/09/06,02/09/06,C1782,7,NEGATIV,R2
Kloaksvaber,10371,1,02/09/06,02/10/06,C1809,1,NEGATIV,R1
Kloaksvaber,10304,1,02/09/06,02/09/06,C1783,7,NEGATIV,R7
Kloaksvaber,10346,3,02/09/06,02/09/06,C1784,20,NEGATIV,R2
Kloaksvaber,10304,1,02/09/06,02/09/06,C1783,15,NEGATIV,R7
Kloaksvaber,10346,3,02/09/06,02/09/06,C1784,7,NEGATIV,R2
Kloaksvaber,10304,1,02/09/06,02/09/06,C1783,9,NEGATIV,R7
Kloaksvaber,10430,1,02/09/06,02/10/06,C1801,1,NEGATIV,R3
Kloaksvaber,10346,3,02/09/06,02/09/06,C1784,6,NEGATIV,R2
Kloaksvaber,10304,1,02/09/06,02/09/06,C1783,5,POSITIV,R7
Kloaksvaber,10346,3,02/09/06,02/09/06,C1784,2,NEGATIV,R2
Kloaksvaber,10346,4,02/09/06,02/09/06,C1782,12,NEGATIV,R2
Kloaksvaber,10346,3,02/09/06,02/09/06,C1784,11,NEGATIV,R2
Kloaksvaber,10346,4,02/09/06,02/09/06,C1782,20,NEGATIV,R2
Kloaksvaber,10346,4,02/09/06,02/09/06,C1782,18,NEGATIV,R2
Kloaksvaber,10346,4,02/09/06,02/09/06,C1782,10,NEGATIV,R2
Kloaksvaber,10346,4,02/09/06,02/09/06,C1782,9,NEGATIV,R2
Kloaksvaber,10346,4,02/09/06,02/09/06,C1782,17,NEGATIV,R2
Kloaksvaber,10346,4,02/09/06,02/09/06,C1782,16,NEGATIV,R2
Kloaksvaber,10346,4,02/09/06,02/09/06,C1782,13,NEGATIV,R2
Kloaksvaber,10346,4,02/09/06,02/09/06,C1782,19,NEGATIV,R2
Kloaksvaber,10346,3,02/09/06,02/09/06,C1784,19,NEGATIV,R2
Kloaksvaber,10346,4,02/09/06,02/09/06,C1782,14,NEGATIV,R2
Kloaksvaber,10526,2,02/09/06,02/10/06,C1792,1,NEGATIV,R3
Kloaksvaber,10346,3,02/09/06,02/09/06,C1784,14,NEGATIV,R2
Kloaksvaber,10634,1,02/09/06,02/10/06,C1794,1,NEGATIV,R2
Kloaksvaber,10346,3,02/09/06,02/09/06,C1784,15,NEGATIV,R2
Kloaksvaber,10304,1,02/09/06,02/09/06,C1783,19,NEGATIV,R7
Kloaksvaber,10432,1,02/10/06,02/21/06,C1901,1,NEGATIV,R2
Kloaksvaber,10346,1,02/10/06,02/10/06,C1804,6,NEGATIV,R2
Kloaksvaber,10346,1,02/10/06,02/10/06,C1804,5,NEGATIV,R2
Kloaksvaber,10346,1,02/10/06,02/10/06,C1804,2,NEGATIV,R2
Kloaksvaber,10346,2,02/10/06,02/10/06,C1806,1,NEGATIV,R2
Kloaksvaber,10346,1,02/10/06,02/10/06,C1804,3,NEGATIV,R2
Kloaksvaber,10566,1,02/10/06,02/14/06,C1822,1,NEGATIV,R3
Kloaksvaber,10359,1,02/10/06,02/13/06,C1817,1,NEGATIV,R2
Kloaksvaber,10346,1,02/10/06,02/10/06,C1804,7,NEGATIV,R2
Kloaksvaber,10346,1,02/10/06,02/10/06,C1804,11,NEGATIV,R2
Kloaksvaber,10331,1,02/10/06,02/14/06,C1825,1,NEGATIV,R6
Kloaksvaber,10346,1,02/10/06,02/10/06,C1804,1,NEGATIV,R2
Kloaksvaber,10239,1,02/10/06,02/13/06,C1816,1,NEGATIV,R6
Kloaksvaber,10346,1,02/10/06,02/10/06,C1804,17,NEGATIV,R2
Kloaksvaber,10346,1,02/10/06,02/10/06,C1804,14,NEGATIV,R2
Kloaksvaber,10586,1,02/10/06,02/10/06,C1805,1,NEGATIV,R3
Kloaksvaber,10346,1,02/10/06,02/10/06,C1804,18,NEGATIV,R2
Kloaksvaber,10346,1,02/10/06,02/10/06,C1804,10,NEGATIV,R2
Kloaksvaber,10247,1,02/10/06,02/13/06,C1818,1,NEGATIV,R2
Kloaksvaber,10346,1,02/10/06,02/10/06,C1804,13,NEGATIV,R2
Kloaksvaber,10346,1,02/10/06,02/10/06,C1804,12,NEGATIV,R2
Kloaksvaber,10346,1,02/10/06,02/10/06,C1804,8,NEGATIV,R2
Kloaksvaber,10106,2,02/10/06,02/13/06,C1815,1,NEGATIV,R3
Kloaksvaber,10356,2,02/10/06,02/21/06,C1900,1,NEGATIV,R2
Kloaksvaber,10178,3,02/10/06,02/14/06,C1819,1,POSITIV,NA
Kloaksvaber,10600,3,02/10/06,02/14/06,C1823,1,NEGATIV,R4
Kloaksvaber,10346,1,02/10/06,02/10/06,C1804,16,NEGATIV,R2
Kloaksvaber,10346,1,02/10/06,02/10/06,C1804,4,NEGATIV,R2
Kloaksvaber,10346,1,02/10/06,02/10/06,C1804,15,NEGATIV,R2
Kloaksvaber,10346,1,02/10/06,02/10/06,C1804,9,NEGATIV,R2
Kloaksvaber,10346,1,02/10/06,02/10/06,C1804,19,NEGATIV,R2
Kloaksvaber,10346,1,02/10/06,02/10/06,C1804,20,NEGATIV,R2
Kloaksvaber,10588,4,02/13/06,02/13/06,C1812,14,NEGATIV,NA
Kloaksvaber,10152,2,02/13/06,02/13/06,C1811,19,NEGATIV,R2
Kloaksvaber,10102,1,02/13/06,02/13/06,C1810,14,NEGATIV,R6
Kloaksvaber,10102,1,02/13/06,02/13/06,C1810,15,NEGATIV,R6
Kloaksvaber,10102,1,02/13/06,02/13/06,C1810,17,NEGATIV,R6
Kloaksvaber,10588,4,02/13/06,02/13/06,C1812,10,NEGATIV,NA
Kloaksvaber,10588,4,02/13/06,02/13/06,C1812,7,NEGATIV,NA
Kloaksvaber,10152,2,02/13/06,02/13/06,C1811,5,NEGATIV,R2
Kloaksvaber,10588,4,02/13/06,02/13/06,C1812,13,NEGATIV,NA
Kloaksvaber,10588,4,02/13/06,02/13/06,C1812,1,NEGATIV,NA
Kloaksvaber,10102,1,02/13/06,02/13/06,C1810,19,NEGATIV,R6
Kloaksvaber,10588,4,02/13/06,02/13/06,C1812,5,NEGATIV,NA
Kloaksvaber,10588,4,02/13/06,02/13/06,C1812,2,NEGATIV,NA
Kloaksvaber,10588,4,02/13/06,02/13/06,C1812,11,NEGATIV,NA
Kloaksvaber,10102,1,02/13/06,02/13/06,C1810,3,NEGATIV,R6
Kloaksvaber,10102,1,02/13/06,02/13/06,C1810,5,NEGATIV,R6
Kloaksvaber,10102,1,02/13/06,02/13/06,C1810,6,NEGATIV,R6
Kloaksvaber,10588,4,02/13/06,02/13/06,C1812,17,NEGATIV,NA
Kloaksvaber,10102,1,02/13/06,02/13/06,C1810,1,NEGATIV,R6
Kloaksvaber,10102,1,02/13/06,02/13/06,C1810,2,NEGATIV,R6
Kloaksvaber,10102,1,02/13/06,02/13/06,C1810,7,NEGATIV,R6
Kloaksvaber,10102,1,02/13/06,02/13/06,C1810,10,NEGATIV,R6
Kloaksvaber,10102,1,02/13/06,02/13/06,C1810,13,NEGATIV,R6
Kloaksvaber,10379,1,02/13/06,02/13/06,C1813,16,NEGATIV,R1
Kloaksvaber,10102,1,02/13/06,02/13/06,C1810,11,NEGATIV,R6
Kloaksvaber,10102,1,02/13/06,02/13/06,C1810,9,NEGATIV,R6
Kloaksvaber,10379,1,02/13/06,02/13/06,C1813,1,NEGATIV,R1
Kloaksvaber,10152,2,02/13/06,02/13/06,C1811,17,NEGATIV,R2
Kloaksvaber,10152,2,02/13/06,02/13/06,C1811,13,NEGATIV,R2
Kloaksvaber,10178,3,02/13/06,02/14/06,C1820,1,POSITIV,NA
Kloaksvaber,10152,2,02/13/06,02/13/06,C1811,6,NEGATIV,R2
Kloaksvaber,10152,2,02/13/06,02/13/06,C1811,20,NEGATIV,R2
Kloaksvaber,10379,1,02/13/06,02/13/06,C1813,15,NEGATIV,R1
Kloaksvaber,10102,1,02/13/06,02/13/06,C1810,4,NEGATIV,R6
Kloaksvaber,10379,1,02/13/06,02/13/06,C1813,2,NEGATIV,R1
Kloaksvaber,10102,1,02/13/06,02/13/06,C1810,18,NEGATIV,R6
Kloaksvaber,10588,4,02/13/06,02/13/06,C1812,20,NEGATIV,NA
Kloaksvaber,10379,1,02/13/06,02/13/06,C1813,20,NEGATIV,R1
Kloaksvaber,10588,4,02/13/06,02/13/06,C1812,9,NEGATIV,NA
Kloaksvaber,10588,4,02/13/06,02/13/06,C1812,8,NEGATIV,NA
Kloaksvaber,10588,4,02/13/06,02/13/06,C1812,16,NEGATIV,NA
Kloaksvaber,10588,4,02/13/06,02/13/06,C1812,15,NEGATIV,NA
Kloaksvaber,10152,2,02/13/06,02/13/06,C1811,1,NEGATIV,R2
Kloaksvaber,10152,2,02/13/06,02/13/06,C1811,3,NEGATIV,R2
Kloaksvaber,10152,2,02/13/06,02/13/06,C1811,4,NEGATIV,R2
Kloaksvaber,10588,4,02/13/06,02/13/06,C1812,18,NEGATIV,NA
Kloaksvaber,10588,4,02/13/06,02/13/06,C1812,19,NEGATIV,NA
Kloaksvaber,10152,3,02/13/06,02/13/06,C1814,1,NEGATIV,R2
Kloaksvaber,10152,2,02/13/06,02/13/06,C1811,7,NEGATIV,R2
Kloaksvaber,10152,2,02/13/06,02/13/06,C1811,12,NEGATIV,R2
Kloaksvaber,10152,2,02/13/06,02/13/06,C1811,15,NEGATIV,R2
Kloaksvaber,10152,2,02/13/06,02/13/06,C1811,16,NEGATIV,R2
Kloaksvaber,10379,1,02/13/06,02/13/06,C1813,4,NEGATIV,R1
Kloaksvaber,10152,2,02/13/06,02/13/06,C1811,8,NEGATIV,R2
Kloaksvaber,10152,2,02/13/06,02/13/06,C1811,9,NEGATIV,R2
Kloaksvaber,10379,1,02/13/06,02/13/06,C1813,19,NEGATIV,R1
Kloaksvaber,10152,2,02/13/06,02/13/06,C1811,11,NEGATIV,R2
Kloaksvaber,10152,2,02/13/06,02/13/06,C1811,14,NEGATIV,R2
Kloaksvaber,10379,1,02/13/06,02/13/06,C1813,21,NEGATIV,R1
Kloaksvaber,10325,2,02/13/06,02/14/06,C1821,1,NEGATIV,R8
Kloaksvaber,10379,1,02/13/06,02/13/06,C1813,12,NEGATIV,R1
Kloaksvaber,10379,1,02/13/06,02/13/06,C1813,3,NEGATIV,R1
Kloaksvaber,10102,1,02/13/06,02/13/06,C1810,20,NEGATIV,R6
Kloaksvaber,10102,1,02/13/06,02/13/06,C1810,12,NEGATIV,R6
Kloaksvaber,10588,4,02/13/06,02/13/06,C1812,3,NEGATIV,NA
Kloaksvaber,10379,1,02/13/06,02/13/06,C1813,10,NEGATIV,R1
Kloaksvaber,10379,1,02/13/06,02/13/06,C1813,13,NEGATIV,R1
Kloaksvaber,10379,1,02/13/06,02/13/06,C1813,8,NEGATIV,R1
Kloaksvaber,10379,1,02/13/06,02/13/06,C1813,9,NEGATIV,R1
Kloaksvaber,10379,1,02/13/06,02/13/06,C1813,14,NEGATIV,R1
Kloaksvaber,10379,1,02/13/06,02/13/06,C1813,18,NEGATIV,R1
Kloaksvaber,10379,1,02/13/06,02/13/06,C1813,11,NEGATIV,R1
Kloaksvaber,10379,1,02/13/06,02/13/06,C1813,17,NEGATIV,R1
Kloaksvaber,10379,1,02/13/06,02/13/06,C1813,6,NEGATIV,R1
Kloaksvaber,10379,1,02/13/06,02/13/06,C1813,5,NEGATIV,R1
Kloaksvaber,10102,1,02/13/06,02/13/06,C1810,8,NEGATIV,R6
Kloaksvaber,10588,4,02/13/06,02/13/06,C1812,4,NEGATIV,NA
Kloaksvaber,10588,4,02/13/06,02/13/06,C1812,12,NEGATIV,NA
Kloaksvaber,10102,1,02/13/06,02/13/06,C1810,16,NEGATIV,R6
Kloaksvaber,10588,4,02/13/06,02/13/06,C1812,6,NEGATIV,NA
Kloaksvaber,10379,2,02/13/06,02/14/06,C1831,1,NEGATIV,R1
Kloaksvaber,10152,2,02/13/06,02/13/06,C1811,2,NEGATIV,R2
Kloaksvaber,10560,2,02/13/06,02/14/06,C1826,2,NEGATIV,R8
Kloaksvaber,10152,2,02/13/06,02/13/06,C1811,18,NEGATIV,R2
Kloaksvaber,10152,2,02/13/06,02/13/06,C1811,10,NEGATIV,R2
Kloaksvaber,10379,1,02/13/06,02/13/06,C1813,7,NEGATIV,R1
Kloaksvaber,10214,1,02/13/06,02/14/06,C1824,1,NEGATIV,R5
Kloaksvaber,10560,1,02/13/06,02/14/06,C1826,1,NEGATIV,R8
Kloaksvaber,10301,2,02/14/06,02/14/06,C1827,20,NEGATIV,R4
Kloaksvaber,10011,1,02/14/06,02/14/06,C1828,14,NEGATIV,R6
Kloaksvaber,10011,1,02/14/06,02/14/06,C1828,7,NEGATIV,R6
Kloaksvaber,10615,1,02/14/06,02/17/06,C1860,1,NEGATIV,NA
Kloaksvaber,10107,3,02/14/06,02/14/06,C1830,1,NEGATIV,R3
Kloaksvaber,10301,2,02/14/06,02/14/06,C1827,19,NEGATIV,R4
Kloaksvaber,10011,1,02/14/06,02/14/06,C1828,12,NEGATIV,R6
Kloaksvaber,10107,1,02/14/06,02/14/06,C1829,1,NEGATIV,R3
Kloaksvaber,10011,1,02/14/06,02/14/06,C1828,18,NEGATIV,R6
Kloaksvaber,10301,2,02/14/06,02/14/06,C1827,3,NEGATIV,R4
Kloaksvaber,10011,1,02/14/06,02/14/06,C1828,6,NEGATIV,R6
Kloaksvaber,10301,2,02/14/06,02/14/06,C1827,10,NEGATIV,R4
Kloaksvaber,10301,2,02/14/06,02/14/06,C1827,18,NEGATIV,R4
Kloaksvaber,10301,2,02/14/06,02/14/06,C1827,2,NEGATIV,R4
Kloaksvaber,10301,2,02/14/06,02/14/06,C1827,14,NEGATIV,R4
Kloaksvaber,10011,1,02/14/06,02/14/06,C1828,4,NEGATIV,R6
Kloaksvaber,10600,2,02/14/06,02/15/06,C1833,1,NEGATIV,R4
Kloaksvaber,10152,1,02/14/06,02/15/06,C1842,1,NEGATIV,R2
Kloaksvaber,10510,1,02/14/06,02/15/06,C1841,1,NEGATIV,NA
Kloaksvaber,10529,1,02/14/06,02/15/06,C1832,1,NEGATIV,R7
Kloaksvaber,10011,1,02/14/06,02/14/06,C1828,10,NEGATIV,R6
Kloaksvaber,10379,2,02/14/06,02/15/06,C1843,1,NEGATIV,R1
Kloaksvaber,10011,1,02/14/06,02/14/06,C1828,2,NEGATIV,R6
Kloaksvaber,10011,1,02/14/06,02/14/06,C1828,19,NEGATIV,R6
Kloaksvaber,10011,1,02/14/06,02/14/06,C1828,17,NEGATIV,R6
Kloaksvaber,10011,1,02/14/06,02/14/06,C1828,16,NEGATIV,R6
Kloaksvaber,10011,1,02/14/06,02/14/06,C1828,15,NEGATIV,R6
Kloaksvaber,10325,2,02/14/06,02/15/06,C1834,2,NEGATIV,R8
Kloaksvaber,10301,2,02/14/06,02/14/06,C1827,9,NEGATIV,R4
Kloaksvaber,10301,2,02/14/06,02/14/06,C1827,12,NEGATIV,R4
Kloaksvaber,10011,1,02/14/06,02/14/06,C1828,20,NEGATIV,R6
Kloaksvaber,10011,1,02/14/06,02/14/06,C1828,8,NEGATIV,R6
Kloaksvaber,10011,1,02/14/06,02/14/06,C1828,5,NEGATIV,R6
Kloaksvaber,10011,1,02/14/06,02/14/06,C1828,3,NEGATIV,R6
Kloaksvaber,10301,2,02/14/06,02/14/06,C1827,17,NEGATIV,R4
Kloaksvaber,10301,2,02/14/06,02/14/06,C1827,13,NEGATIV,R4
Kloaksvaber,10301,2,02/14/06,02/14/06,C1827,16,NEGATIV,R4
Kloaksvaber,10011,1,02/14/06,02/14/06,C1828,13,NEGATIV,R6
Kloaksvaber,10011,1,02/14/06,02/14/06,C1828,9,NEGATIV,R6
Kloaksvaber,10312,4,02/14/06,02/15/06,C1835,2,NEGATIV,R8
Kloaksvaber,10075,1,02/14/06,02/15/06,C1844,1,NEGATIV,R5
Kloaksvaber,10247,3,02/14/06,02/15/06,C1845,1,NEGATIV,R2
Kloaksvaber,10301,2,02/14/06,02/14/06,C1827,15,NEGATIV,R4
Kloaksvaber,10510,2,02/14/06,02/15/06,C1840,1,NEGATIV,NA
Kloaksvaber,10301,2,02/14/06,02/14/06,C1827,6,NEGATIV,R4
Kloaksvaber,10325,1,02/14/06,02/15/06,C1834,1,NEGATIV,R8
Kloaksvaber,10301,2,02/14/06,02/14/06,C1827,4,NEGATIV,R4
Kloaksvaber,10301,2,02/14/06,02/14/06,C1827,5,NEGATIV,R4
Kloaksvaber,10301,2,02/14/06,02/14/06,C1827,7,NEGATIV,R4
Kloaksvaber,10301,2,02/14/06,02/14/06,C1827,8,NEGATIV,R4
Kloaksvaber,10247,2,02/14/06,02/15/06,C1846,1,NEGATIV,R2
Kloaksvaber,10011,1,02/14/06,02/14/06,C1828,1,NEGATIV,R6
Kloaksvaber,10011,1,02/14/06,02/14/06,C1828,11,NEGATIV,R6
Kloaksvaber,10301,2,02/14/06,02/14/06,C1827,1,NEGATIV,R4
Kloaksvaber,10301,2,02/14/06,02/14/06,C1827,11,NEGATIV,R4
Kloaksvaber,10312,3,02/14/06,02/15/06,C1835,1,NEGATIV,R8
Kloaksvaber,10464,1,02/15/06,02/15/06,C1836,18,NEGATIV,R3
Kloaksvaber,10510,3,02/15/06,02/15/06,C1837,6,NEGATIV,NA
Kloaksvaber,10510,3,02/15/06,02/15/06,C1837,2,NEGATIV,NA
Kloaksvaber,10510,3,02/15/06,02/15/06,C1837,1,NEGATIV,NA
Kloaksvaber,10464,1,02/15/06,02/15/06,C1836,12,NEGATIV,R3
Kloaksvaber,10464,1,02/15/06,02/15/06,C1836,13,NEGATIV,R3
Kloaksvaber,10464,1,02/15/06,02/15/06,C1836,16,NEGATIV,R3
Kloaksvaber,10464,1,02/15/06,02/15/06,C1836,17,NEGATIV,R3
Kloaksvaber,10464,1,02/15/06,02/15/06,C1836,3,NEGATIV,R3
Kloaksvaber,10510,3,02/15/06,02/15/06,C1837,11,NEGATIV,NA
Kloaksvaber,10659,3,02/15/06,02/16/06,C1847,1,POSITIV,R3
Kloaksvaber,10510,3,02/15/06,02/15/06,C1837,12,NEGATIV,NA
Kloaksvaber,10464,1,02/15/06,02/15/06,C1836,4,NEGATIV,R3
Kloaksvaber,10510,3,02/15/06,02/15/06,C1837,4,NEGATIV,NA
Kloaksvaber,10336,1,02/15/06,02/16/06,C1854,1,NEGATIV,R4
Kloaksvaber,10510,3,02/15/06,02/15/06,C1837,5,NEGATIV,NA
Kloaksvaber,10464,1,02/15/06,02/15/06,C1836,15,NEGATIV,R3
