Materialeart,Chrnr,Epinr,Provedato,Modtag.Dato,Jnr,Provenr,Tolkning,region
Kloaksvaber,10560,1,06/17/05,06/21/05,C865,1,NEGATIV,R8
Kloaksvaber,10585,1,06/17/05,06/21/05,C886,1,NEGATIV,R6
Kloaksvaber,10307,2,06/17/05,06/21/05,C896,1,NEGATIV,R3
Kloaksvaber,10659,4,06/17/05,06/21/05,C854,1,NEGATIV,R3
Kloaksvaber,10086,2,06/20/05,06/21/05,C894,1,NEGATIV,NA
Kloaksvaber,10367,1,06/20/05,06/21/05,C888,1,NEGATIV,R1
Kloaksvaber,10566,1,06/20/05,06/21/05,C836,1,NEGATIV,R3
Kloaksvaber,10560,1,06/20/05,06/21/05,C876,1,POSITIV,R8
Kloaksvaber,10566,1,06/20/05,06/21/05,C885,1,NEGATIV,R3
Kloaksvaber,10520,1,06/20/05,06/21/05,C847,1,NEGATIV,R4
Kloaksvaber,10367,2,06/20/05,06/28/05,C1285,1,NEGATIV,R1
Kloaksvaber,10367,1,06/20/05,06/28/05,C1284,1,NEGATIV,R1
Kloaksvaber,10086,1,06/20/05,06/21/05,C889,1,NEGATIV,NA
Kloaksvaber,10358,1,06/20/05,06/21/05,C901,1,NEGATIV,NA
Kloaksvaber,10560,2,06/20/05,06/21/05,C884,1,NEGATIV,R8
Kloaksvaber,10529,4,06/21/05,06/24/05,C1174,1,NEGATIV,R7
Kloaksvaber,10668,2,06/21/05,06/24/05,C1176,1,NEGATIV,NA
Kloaksvaber,10358,1,06/21/05,06/24/05,C1169,1,NEGATIV,NA
Kloaksvaber,10175,2,06/21/05,06/24/05,C1208,1,POSITIV,R2
Kloaksvaber,10668,1,06/21/05,06/28/05,C1291,1,POSITIV,NA
Kloaksvaber,10175,1,06/21/05,06/24/05,C1204,1,NEGATIV,R2
Kloaksvaber,10175,4,06/21/05,06/24/05,C1210,1,NEGATIV,R2
Kloaksvaber,10520,4,06/21/05,06/22/05,C1043,1,NEGATIV,R4
Kloaksvaber,10520,2,06/21/05,06/22/05,C1041,1,NEGATIV,R4
Kloaksvaber,10668,2,06/21/05,06/28/05,C1295,1,NEGATIV,NA
Kloaksvaber,10520,3,06/21/05,06/22/05,C1042,1,NEGATIV,R4
Kloaksvaber,10429,1,06/22/05,06/24/05,C1175,1,NEGATIV,R3
Kloaksvaber,10083,1,06/22/05,06/24/05,C1183,1,POSITIV,R2
Kloaksvaber,10332,2,06/22/05,06/23/05,C1122,1,NEGATIV,R3
Kloaksvaber,10169,2,06/22/05,06/23/05,C1123,1,NEGATIV,R4
Kloaksvaber,10169,7,06/22/05,06/23/05,C1128,1,POSITIV,R4
Kloaksvaber,10083,2,06/22/05,06/24/05,C1186,1,POSITIV,R2
Kloaksvaber,10388,2,06/22/05,06/28/05,C1283,1,NEGATIV,R1
Kloaksvaber,10520,4,06/22/05,06/23/05,C1121,1,NEGATIV,R4
Kloaksvaber,10175,3,06/22/05,06/24/05,C1209,1,POSITIV,R2
Kloaksvaber,10388,1,06/22/05,06/28/05,C1282,1,NEGATIV,R1
Kloaksvaber,10358,1,06/22/05,06/24/05,C1173,1,NEGATIV,NA
Kloaksvaber,10666,2,06/23/05,06/24/05,C1177,1,NEGATIV,R7
Kloaksvaber,10332,3,06/23/05,06/24/05,C1193,1,NEGATIV,R3
Kloaksvaber,10649,1,06/23/05,06/25/05,C1232,1,NEGATIV,R8
Kloaksvaber,10666,2,06/23/05,06/25/05,C1230,1,NEGATIV,R7
Kloaksvaber,10332,1,06/23/05,06/24/05,C1191,1,NEGATIV,R3
Kloaksvaber,10337,1,06/23/05,06/24/05,C1181,1,NEGATIV,R3
Kloaksvaber,10164,2,06/23/05,06/28/05,C1290,1,POSITIV,R5
Kloaksvaber,10164,1,06/23/05,06/28/05,C1289,1,POSITIV,R5
Kloaksvaber,10667,1,06/23/05,06/25/05,C1234,1,NEGATIV,R4
Kloaksvaber,10332,3,06/23/05,06/25/05,C1231,1,NEGATIV,R3
Kloaksvaber,10178,1,06/24/05,06/29/05,C1380,1,NEGATIV,NA
Kloaksvaber,10432,1,06/24/05,06/28/05,C1332,1,NEGATIV,R2
Kloaksvaber,10248,2,06/24/05,06/28/05,C1322,1,NEGATIV,R8
Kloaksvaber,10248,6,06/24/05,06/28/05,C1331,1,POSITIV,R8
Kloaksvaber,10248,4,06/24/05,06/28/05,C1329,1,POSITIV,R8
Kloaksvaber,10248,3,06/24/05,06/28/05,C1328,1,NEGATIV,R8
Kloaksvaber,10545,1,06/24/05,06/28/05,C1296,1,NEGATIV,NA
Kloaksvaber,10545,2,06/24/05,06/28/05,C1349,1,NEGATIV,NA
Kloaksvaber,10545,1,06/24/05,06/28/05,C1348,1,NEGATIV,NA
Kloaksvaber,10529,4,06/24/05,06/28/05,C1350,1,NEGATIV,R7
Kloaksvaber,10248,5,06/24/05,06/28/05,C1330,1,POSITIV,R8
Kloaksvaber,10005,1,06/27/05,06/28/05,C1337,1,NEGATIV,R6
Kloaksvaber,10561,1,06/27/05,06/28/05,C1303,1,NEGATIV,R8
Kloaksvaber,10252,4,06/27/05,06/28/05,C1316,1,NEGATIV,R3
Kloaksvaber,10227,2,06/27/05,06/28/05,C1347,1,NEGATIV,R1
Kloaksvaber,10252,5,06/27/05,06/28/05,C1317,1,NEGATIV,R3
Kloaksvaber,10529,4,06/27/05,06/28/05,C1354,1,NEGATIV,R7
Kloaksvaber,10227,1,06/27/05,06/28/05,C1314,1,NEGATIV,R1
Kloaksvaber,10411,1,06/27/05,06/28/05,C1346,1,POSITIV,R1
Kloaksvaber,10403,1,06/27/05,06/28/05,C1276,1,NEGATIV,R1
Kloaksvaber,10191,1,06/27/05,06/29/05,C1381,1,NEGATIV,NA
Kloaksvaber,10248,1,06/27/05,06/28/05,C1318,1,POSITIV,R8
Kloaksvaber,10227,1,06/27/05,06/28/05,C1281,1,NEGATIV,R1
Kloaksvaber,10615,1,06/28/05,07/01/05,C1390,1,POSITIV,NA
Kloaksvaber,10597,1,06/28/05,06/29/05,C1382,1,NEGATIV,R6
Kloaksvaber,10252,1,06/28/05,06/29/05,C1383,1,POSITIV,R3
Kloaksvaber,10005,2,06/28/05,07/01/05,C1395,1,NEGATIV,R6
Kloaksvaber,10141,3,06/28/05,06/29/05,C1386,1,NEGATIV,R5
Kloaksvaber,10356,3,06/28/05,07/01/05,C1399,1,NEGATIV,R2
Kloaksvaber,10338,1,06/28/05,07/01/05,C1401,1,POSITIV,R3
Kloaksvaber,10252,3,06/28/05,06/29/05,C1384,1,POSITIV,R3
Kloaksvaber,10141,2,06/28/05,06/29/05,C1385,1,NEGATIV,R5
Kloaksvaber,10191,1,06/28/05,07/01/05,C1391,1,NEGATIV,NA
Kloaksvaber,10142,1,06/28/05,06/30/05,C1389,1,NEGATIV,R5
Kloaksvaber,10209,6,06/28/05,07/06/05,C1446,1,POSITIV,R1
Kloaksvaber,10141,4,06/28/05,06/29/05,C1387,1,NEGATIV,R5
Kloaksvaber,10141,NA,06/29/05,06/29/05,C1388,1,NEGATIV,R5
Kloaksvaber,10209,5,06/29/05,07/06/05,C1445,1,POSITIV,R1
Kloaksvaber,10141,6,06/29/05,07/01/05,C1413,1,NEGATIV,R5
Kloaksvaber,10356,1,06/29/05,07/01/05,C1397,1,NEGATIV,R2
Kloaksvaber,10597,2,06/29/05,07/01/05,C1396,1,NEGATIV,R6
Kloaksvaber,10209,1,06/29/05,07/06/05,C1442,1,NEGATIV,R1
Kloaksvaber,10356,2,06/29/05,07/01/05,C1398,1,NEGATIV,R2
Kloaksvaber,10352,1,06/29/05,07/01/05,C1393,1,NEGATIV,R1
Kloaksvaber,10191,1,06/29/05,07/01/05,C1392,1,NEGATIV,NA
Kloaksvaber,10209,2,06/29/05,07/06/05,C1443,1,POSITIV,R1
Kloaksvaber,10548,4,06/29/05,07/01/05,C1411,1,NEGATIV,R2
Kloaksvaber,10548,5,06/29/05,07/01/05,C1412,1,POSITIV,R2
Kloaksvaber,10548,3,06/29/05,07/01/05,C1410,1,NEGATIV,R2
Kloaksvaber,10190,1,06/30/05,07/01/05,C1403,1,POSITIV,R3
Kloaksvaber,10140,3,06/30/05,07/01/05,C1405,1,NEGATIV,R4
Kloaksvaber,10603,3,06/30/05,07/01/05,C1407,1,POSITIV,R3
Kloaksvaber,10402,2,06/30/05,07/01/05,C1400,1,NEGATIV,R1
Kloaksvaber,10140,2,06/30/05,07/01/05,C1404,1,NEGATIV,R4
Kloaksvaber,10190,1,06/30/05,07/01/05,C1402,1,POSITIV,R3
Kloaksvaber,10603,2,06/30/05,07/01/05,C1406,1,NEGATIV,R3
Kloaksvaber,10548,2,06/30/05,07/01/05,C1409,1,NEGATIV,R2
Kloaksvaber,10386,1,06/30/05,07/06/05,C1439,1,POSITIV,R1
Kloaksvaber,10352,2,06/30/05,07/01/05,C1394,1,NEGATIV,R1
Kloaksvaber,10603,4,06/30/05,07/01/05,C1408,1,POSITIV,R3
Kloaksvaber,10209,4,06/30/05,07/06/05,C1444,1,POSITIV,R1
Kloaksvaber,10140,1,07/01/05,07/05/05,C1425,1,NEGATIV,R4
Kloaksvaber,10233,2,07/01/05,07/05/05,C1428,1,NEGATIV,R6
Kloaksvaber,10233,1,07/01/05,07/05/05,C1427,1,NEGATIV,R6
Kloaksvaber,10328,1,07/01/05,07/05/05,C1432,1,NEGATIV,R8
Kloaksvaber,10233,4,07/01/05,07/05/05,C1429,1,NEGATIV,R6
Kloaksvaber,10233,6,07/01/05,07/05/05,C1430,1,POSITIV,R6
Kloaksvaber,10563,4,07/01/05,07/05/05,C1418,1,POSITIV,R5
Kloaksvaber,10563,5,07/01/05,07/05/05,C1419,1,POSITIV,R5
Kloaksvaber,10233,7,07/01/05,07/05/05,C1424,1,NEGATIV,R6
Kloaksvaber,10135,NA,07/01/05,07/29/05,C128,1,POSITIV,R6
Kloaksvaber,10233,3,07/01/05,07/05/05,C1422,1,POSITIV,R6
Kloaksvaber,10233,8,07/01/05,07/05/05,C1431,1,NEGATIV,R6
Kloaksvaber,10233,5,07/01/05,07/05/05,C1423,1,NEGATIV,R6
Kloaksvaber,10176,1,07/01/05,07/29/05,C137,1,POSITIV,R3
Kloaksvaber,10178,2,07/01/05,07/05/05,C1414,1,POSITIV,NA
Kloaksvaber,10178,1,07/04/05,07/05/05,C1415,1,POSITIV,NA
Kloaksvaber,10637,1,07/04/05,07/05/05,C1420,1,NEGATIV,R3
Kloaksvaber,10328,2,07/04/05,07/05/05,C1433,1,NEGATIV,R8
Kloaksvaber,10618,2,07/04/05,07/06/05,C1438,1,POSITIV,NA
Kloaksvaber,10500,13,07/04/05,07/05/05,C1417,1,NEGATIV,R4
Kloaksvaber,10532,1,07/04/05,07/05/05,C1434,1,NEGATIV,R4
Kloaksvaber,10629,3,07/04/05,07/05/05,C1416,1,NEGATIV,R6
Kloaksvaber,10532,2,07/04/05,07/05/05,C1426,1,NEGATIV,R4
Kloaksvaber,10372,1,07/04/05,07/06/05,C1440,1,POSITIV,R5
Kloaksvaber,10372,2,07/04/05,07/06/05,C1441,1,POSITIV,R5
Kloaksvaber,10637,2,07/04/05,07/05/05,C1421,1,NEGATIV,R3
Kloaksvaber,10441,1,07/05/05,07/08/05,C1463,1,NEGATIV,R3
Kloaksvaber,10501,6,07/05/05,07/06/05,C1436,1,POSITIV,NA
Kloaksvaber,10178,2,07/05/05,07/08/05,C1471,1,POSITIV,NA
Kloaksvaber,10529,1,07/05/05,07/08/05,C1455,1,NEGATIV,R7
Kloaksvaber,10441,2,07/05/05,07/08/05,C1464,1,NEGATIV,R3
Kloaksvaber,10402,1,07/05/05,07/12/05,C1495,1,NEGATIV,R1
Kloaksvaber,10500,14,07/05/05,07/06/05,C1435,1,NEGATIV,R4
Kloaksvaber,10501,8,07/05/05,07/06/05,C1437,1,POSITIV,NA
Kloaksvaber,10634,1,07/05/05,07/08/05,C1454,1,NEGATIV,R2
Kloaksvaber,10501,7,07/05/05,07/06/05,C1448,1,NEGATIV,NA
Kloaksvaber,10302,15,07/05/05,07/06/05,C1447,1,NEGATIV,R4
Kloaksvaber,10449,1,07/06/05,07/07/05,C1450,1,NEGATIV,R5
Kloaksvaber,10615,1,07/06/05,07/12/05,C1472,1,POSITIV,NA
Kloaksvaber,10200,3,07/06/05,07/08/05,C1457,1,NEGATIV,R2
Kloaksvaber,10244,1,07/06/05,07/07/05,C1452,1,NEGATIV,R4
Kloaksvaber,10562,1,07/06/05,07/07/05,C1451,1,POSITIV,R8
